iso3c,year,region,income,che_gdp,gghed_gdp,hc1_gdp,hc2_gdp,hc3_gdp,hc4_gdp,hc5_gdp,hc6_gdp,hc7_gdp,hc1_gghed_gdp,hc6_gghed_gdp,hp1_gdp,hp3_gdp,hp5_gdp,hp1_gghed_gdp,hp3_gghed_gdp
BFA,2018,AFR,Low,4.94427681,2.12523532,2.52429878565855,8.178084308022878e-5,NA,0.08976740730097993,0.9171559677999759,1.0070185443745803,0.3973352420715952,1.0850381448434032,0.43285427993661324,1.8633201364911405,1.015365610373374,0.9139615250286641,0.8009247699337838,0.43644216147332826
BFA,2019,AFR,Low,5.35001135,2.2360279600000004,2.618971408455892,5.3567106778614675e-5,NA,0.09427908388126059,0.956026025603424,1.1460349465409536,0.5252208425520472,1.0945945555326637,0.4789833172228089,2.1706922722352013,0.8193838086901579,0.9557960188708633,0.9072370684360965,0.34246004098710636
BFA,2020,AFR,Low,6.89469957,2.8451433200000005,2.5536492599263894,5.058522665490077e-5,NA,0.3705031059146836,1.69729692614854,1.2271603556119937,1.0283148761633727,1.0537802350541738,0.5063958266622904,1.792908203017014,0.9672315253165306,1.697295655293735,0.7398554129004727,0.39913447789977285
BFA,2021,AFR,Low,7.086919310000001,2.7305827099999997,3.3066107814424317,6.530953093346522e-5,NA,0.3238263615600507,1.320250305321922,1.4929619416990378,0.6249301134221444,1.2740337279931992,0.5752366982560466,2.443470787226577,1.1449309089964699,1.3202503053504293,0.9414667773310627,0.4411406998579674
BFA,2022,AFR,Low,7.414355279999998,2.62870407,3.452098544818368,NA,NA,0.3381381951340459,1.56003504590908,1.4387805312082822,0.43490090142703153,1.2239156544444851,0.5101088490358902,2.6301781399692157,1.0381205370713005,1.5600350460326031,0.9325099378515497,0.3680578523544821
BDI,2016,AFR,Low,7.061482430000001,2.23587942,3.8525245548672085,0.09107874972939937,0.003861061559573629,0.0585605043582249,1.268705920214176,1.6069508761134348,0.17959597160967947,1.2198260708937643,0.5088093652387659,2.6070030017030406,1.7817764723911076,1.2620599712588314,0.8254561867381227,0.5641644492004316
BDI,2018,AFR,Low,7.293961520000001,2.0575191999999998,3.9927891082381772,NA,0.0034921158422903755,0.03800843400189629,1.061798367873666,1.8969215067857699,0.3009519854659705,1.1263070457973743,0.5350936401847992,2.788194637297683,1.7637142475126546,1.0551709390245498,0.7865086734892751,0.4975178327470582
BDI,2020,AFR,Low,10.707761759999999,2.1569612,4.31238340147523,0.013544319252894992,0.0030739815332988182,0.02605095030809964,1.1091919661859677,4.355385988421791,0.2080539235191805,0.8686823525765569,0.8773447522098636,3.499474614199056,1.0776982025505772,1.108858274483625,0.7049307906167249,0.21709048635121447
CPV,2016,AFR,Lower-middle,4.361340050000001,2.7693481399999995,2.735624873607984,0.009865671824289884,NA,0.19103827186361705,0.3120149003744078,0.352465743810718,0.6433638542359799,1.7370573192209589,0.22380744010913067,1.7948474428549235,0.6701212596540741,0.4336788639676128,1.1396858237307217,0.4255112058958729
CPV,2017,AFR,Lower-middle,4.480709549999999,2.55316591,2.33039202414622,0.027272580285841046,NA,0.12992459560173666,1.0887780314756692,0.2880647860266788,0.616277530871367,1.327887337170968,0.16414301872228268,1.3208331737361425,1.0995487354888815,1.128992738648139,0.7526277243255428,0.6265370063618205
