iso3c,year,export_price_shock,n_commodities,total_export_share
PRY,2010,21.491209109707423,10,121.15592817665103
PRY,2011,32.24632503585214,10,119.90119437664842
PRY,2012,2.5529348037719224,9,129.98478995867552
PRY,2013,-4.649104037833099,10,124.24066605441236
PRY,2014,-10.812743445705546,10,120.80013088451878
PRY,2015,-39.77759555209404,10,124.54561575574365
PRY,2016,-14.794091684229535,10,122.6486451516928
PRY,2017,18.7089359761626,10,117.9973620896811
PRY,2018,26.504273742957462,10,119.05462961119126
PRY,2019,-9.920420549453384,10,126.19789604587326
PRY,2020,-12.642473674491695,10,126.14332027611952
PRY,2021,53.04053231054286,10,128.88320000896752
PRY,2022,35.799973367677204,10,143.573961080961
PSE,2001,-9.037146986771207,8,102.54104778539048
PSE,2002,-1.7078883473540492,8,101.10922450187317
PSE,2003,9.584809447662275,8,106.37354484946079
PSE,2004,18.770976834363488,9,100.54137348239857
PSE,2005,17.111222714447916,8,101.56574771272778
PSE,2006,28.4199161485338,9,107.39440493194016
PSE,2007,18.50983122515166,10,131.16709197594355
PSE,2008,27.723903399050386,10,116.3768393986031
PSE,2009,-21.05039038081822,10,107.46710902131458
PSE,2010,28.511035644053756,10,112.16329105327213
PSE,2011,21.726031191338997,10,114.05825565105862
PSE,2012,-15.192969080966625,10,114.3005617706562
PSE,2013,-11.444059739294152,10,118.90641491351903
PSE,2014,4.910003973842967,10,114.41033696511207
PSE,2015,-16.2855591363917,10,108.1148557543768
PSE,2016,-7.1748893811802406,10,113.60531714012666
PSE,2017,12.745067645103267,10,108.24531340815523
PSE,2018,5.723824645106467,10,105.87071716293303
PSE,2019,-10.116262591089583,10,105.73781174250385
PSE,2020,2.409357520369122,10,106.18092217817988
PSE,2021,42.514512148157536,10,106.66445181805497
PSE,2022,10.131746252179273,10,106.45505750657381
QAT,2001,-11.877757687313089,7,100.00044284079344
QAT,2002,0.7688436071278469,9,100.0025701277163
QAT,2003,9.56740750358959,8,100.00198307220252
QAT,2004,25.743736036025506,9,100.00069642825228
QAT,2005,41.976123083092446,10,100.00126920098664
QAT,2006,20.546621787716372,10,100.00118396037696
QAT,2007,7.41730506593729,10,100.00091881238163
QAT,2008,32.64035296753533,7,100.00129921780757
QAT,2009,-35.20965892314183,10,100.0036276012682
QAT,2010,29.937143054910788,8,100.00010352973236
QAT,2011,28.454536494004916,6,100.00001275978751
QAT,2012,3.0856442505796142,4,99.99999999999999
QAT,2013,-0.3390015052695556,4,100
QAT,2014,-7.679587236146652,5,99.99999999999997
QAT,2015,-43.84057742705247,3,99.99999999999999
QAT,2016,-14.614724984441123,3,100.00000000000003
QAT,2017,22.658261881063932,4,100
QAT,2018,27.426778577562818,5,99.99999999999999
QAT,2019,-8.826038977013638,4,100.00000000000001
QAT,2020,-32.38357321950074,4,99.99999999999997
QAT,2021,63.44604099536201,3,100.00000000000003
QAT,2022,45.2793336090126,4,100
ROU,2001,-10.13922408068362,9,105.93044578516356
ROU,2002,0.9936780165793386,9,104.97081198492728
ROU,2003,8.85764024067383,9,101.30090471566515
ROU,2004,25.237784096405303,9,102.49484746202066
ROU,2005,36.50263594400089,9,103.26595333122823
ROU,2006,27.35092199492642,9,103.98305528087162
ROU,2007,8.125432787694587,9,104.53342663206622
ROU,2008,40.33243033949924,9,113.541682336743
ROU,2009,-36.507649735619644,9,120.91900650926827
ROU,2010,22.4379372043639,9,122.87956109788061
ROU,2011,28.989504884880425,9,121.76404127905391
ROU,2012,-1.4773723428330592,9,125.58979283566951
ROU,2013,-6.914789728599487,9,133.8861941231625
ROU,2014,-11.910594194116161,9,130.90128302443406
ROU,2015,-33.57463253174012,9,134.4745628334765
ROU,2016,-14.553440709058341,9,138.45356452827363
ROU,2017,15.747055405077758,9,135.11537183082464
ROU,2018,23.245692644679433,9,134.28201842622
ROU,2019,-11.169038617974284,9,139.30833097149423
