country,iso3c,region,income,year,che_gdp,gghed_gdp,hc1_che,hc2_che,hc3_che,hc4_che,hc5_che,hc6_che,hc7_che,hc1_gghed_usd2023,hc2_gghed_usd2023,hc3_gghed_usd2023,hc4_gghed_usd2023,hc5_gghed_usd2023,hc6_gghed_usd2023,hc7_gghed_usd2023,hc11_che,hc12_che,hc13_che,hc61_che,hc62_che,hc63_che,hc1_gdp,hc2_gdp,hc3_gdp,hc4_gdp,hc5_gdp,hc6_gdp,hc7_gdp,hc1_gghed_gdp,hc6_gghed_gdp,hp1_che,hp2_che,hp3_che,hp4_che,hp5_che,hp6_che,hp7_che,hp1_usd2023,hp3_usd2023,hp5_usd2023,hp11_che,hp12_che,hp13_che,hp31_che,hp32_che,hp33_che,hp1_gdp,hp3_gdp,hp5_gdp,hp1_gghed_gdp,hp3_gghed_gdp
Cyprus,CYP,EUR,High,2017,6.62192535,2.74640369,54.69417250526366,6.97144836856317,4.441992696301759,10.869529660865737,19.44981383896178,1.315394268856983,2.25764866118691,NA,NA,NA,NA,NA,NA,NA,26.203281311335008,3.9743597368765387,24.440029976090496,0.2576070277278837,0.7263551399999999,0.21433796852510498,3.621807274098784,0.46164410678004597,0.2941454404015547,0.7197721400386372,1.2879521531300182,0.08710442654188771,0.14949980900907162,1.5021227718995267,0.036126036737936705,45.1562444240903,1.772916245375712,25.271063556449022,7.06244721472159,16.00040741313476,0.5215334197723244,2.25764866118691,758.4153628366107,424.4365996523513,268.73259609012894,39.797423483649936,0.8147519240605705,4.544069016379792,10.77808474193203,4.7996687166188865,4.18453435949897,2.990212796626797,1.6734309638591092,1.0595350345936498,1.2401727631286354,0.6940454220165612
Cyprus,CYP,EUR,High,2018,6.784462450000001,2.8512721100000005,54.34397942065855,6.966209813577444,4.366216031717922,10.911957889671262,19.3709269490153,1.251873890704015,2.788903593138958,NA,NA,NA,NA,NA,NA,NA,26.23947140398853,4.015161448610448,24.01337711264702,0.25420028630481595,0.7006897900000001,0.18958569611406773,3.6869468776303074,0.47261988899037677,0.29622428715778254,0.7403176855845593,1.314213265072874,0.08493291403616796,0.18921211704321342,1.549494728685377,0.03569433109801547,44.9949376225886,1.7881209185004547,24.984353266078283,7.099156360549412,15.836319617827678,0.4946801104666173,2.788903593138958,822.8202950562751,456.8876858685607,289.598027445755,39.50688794234972,0.8570219703124344,4.631095298409912,10.595103079196127,4.753565630445097,4.152028127623278,3.0526646474054466,1.69505406571243,1.0744091579335027,1.282928107344766,0.7123718965395642
Cyprus,CYP,EUR,High,2019,6.99843168,3.79063916,56.86836873265856,6.45125835319864,4.178186916253077,11.562096994802454,16.78186916253077,1.207427996404705,2.950730782758216,NA,NA,NA,NA,NA,NA,NA,25.648410938293797,3.783913497987416,27.387561549884715,0.2004645550822619,0.72620314,0.18849652194302238,3.979893933285591,0.45148690834889993,0.29240755679667046,0.8091654589565829,1.1744676479667042,0.08450102341357614,0.20650487789206298,2.155674654833351,0.04576923846052014,43.93519920669037,1.6861493219742854,27.05953974363985,7.603914279573253,14.050715151041462,0.4905672359216851,2.950730782758216,877.4768813101878,540.4350264177808,280.62186887811356,38.51722175544178,0.7843946617687286,4.633582789479854,12.706692817226154,4.594137129235218,4.108454804798937,3.074774899952128,1.8937434018810821,0.9833297003970456,1.6654248661528146,1.0257295100381758
Cyprus,CYP,EUR,High,2020,8.64796448,6.213294979999999,59.728786719045964,5.030438879071934,3.7099822674600396,11.763273950945312,16.255172852210055,1.6338641380440249,1.8784811932226653,NA,NA,NA,NA,NA,NA,NA,33.591250224176314,2.173437781835491,23.96053256538842,0.1708133039014172,0.61368752,0.7516819037646632,5.165324259798053,0.435030567450251,0.3208379487042428,1.0172837529628433,1.4057415744217288,0.14129599030950546,0.16245038635337627,3.7111257068293892,0.10151679846910966,46.308132728914366,1.456745471638531,25.219020901243038,7.6962117692175305,15.047127416388047,0.6224219724310944,1.8784811932226653,1106.0500900261075,602.3456074438888,359.39425005445435,41.506444132162464,0.5096490135467096,4.292039583205201,12.761588558557953,4.740650620380482,3.888444699645091,4.004710869747769,2.180931969743274,1.30127023422958,2.8772608861773725,1.5669321596620842
Cyprus,CYP,EUR,High,2021,8.874450679999999,6.978024009999999,59.75067465280063,4.8431514513262695,4.352091972180172,7.861778450602251,18.315276772197723,3.4030145461725794,1.4740121547203757,NA,NA,NA,NA,NA,NA,NA,29.73294719059216,10.4673643563922,19.546106759691966,0.18802518703789028,1.5270190200000002,1.6154369336755963,5.302544153030053,0.4298030869056539,0.3862242556193686,0.6976896511695648,1.6253802040541827,0.30199884753331135,0.13081048168786502,4.1694164234094115,0.23746317209571507,46.36486101055311,1.6660304087408677,22.936527786919417,6.060949121305865,17.39217622150552,2.649158603742952,1.4740121547203757,1265.8288265753229,626.2009077870441,474.83196408264024,40.46701331753658,0.3787270453498322,5.519076767809738,12.233177559841158,3.857127185765375,2.886943548564032,4.114626723232085,2.035490846154659,1.5434601009561946,3.2353511335195244,1.6005164160315581
Cyprus,CYP,EUR,High,2022,8.27201366,6.3203043899999996,58.891002211444366,5.2783317133632295,4.971099788237947,7.781864510144907,18.656705976660906,2.834261832708801,1.5866516658258185,NA,NA,NA,NA,NA,NA,NA,28.607629524222595,10.330580893021892,19.948100602200906,0.23665829110574685,1.5266538900000004,0.9960552836401674,4.87147174744158,0.4366243203495184,0.41121005353527407,0.6437168952818789,1.5432852668954267,0.2344505259618384,0.13124804253372926,3.722090598084915,0.17913397503678882,45.13778524710648,1.9272157446279679,24.349385165792484,5.859833767200008,17.383170801362585,2.0962221090117796,1.5866516658258185,1231.4272626488805,664.2881691634888,474.2392724608059,39.113142497837515,0.43862645190334826,5.586016297365607,12.44219340385484,4.1802224283420415,3.306138136674998,3.733803761462113,2.014184467040368,1.4379382632298445,2.852845422521643,1.538955259571591
Czechia,CZE,EUR,High,2016,7.322586059999999,6.188027380000001,50.912779558000985,4.873354006671977,12.120942790730787,5.319030300389624,20.38028651945858,3.1758612527855106,2.420244557196597,NA,NA,NA,NA,NA,NA,NA,25.267685428544354,1.4448693323262904,24.13556602848391,0.32922206233453916,0.49699813000000004,0.30622728199776506,3.7281320986727096,0.35685554114701357,0.8875664671346275,0.38949057130350667,1.492364019661933,0.23255517338141313,0.17722449056318673,3.150496738968145,0.19652316387317845,44.06920819587233,7.124589758128818,22.029340535555,4.104694822798664,16.936891581118772,0.5699121074871814,2.420244557196597,9765.101231874438,4881.384286393382,3752.9710111378345,38.14989345268759,1.4859725675672242,4.433342175620329,12.087692971098503,5.004229648623091,1.4030115730522033,3.227005696103324,1.6131174191664797,1.2402184619163166,2.727014669309784,1.3631816239735823
Czechia,CZE,EUR,High,2017,7.241906640000001,6.120940689999999,50.751252462162604,4.951627985664887,12.621064571996106,5.385037706251233,19.71033401608576,3.3596717770828035,2.3015833295436554,NA,NA,NA,NA,NA,NA,NA,25.226883295958693,1.4762863187510997,23.983249238751895,0.356827707426557,0.44598066999999997,0.32544931953708456,3.675358321940517,0.3585922758819637,0.9140057132780738,0.3899794032155118,1.4274039878770934,0.2433042935067656,0.16667851596735508,3.106454062641137,0.20564351685390742,44.007486287814714,7.55347413380593,22.14414922907211,4.131908557626869,16.370479532972155,0.7053824783282628,2.3015833295436554,10142.864619616277,5103.7931655107905,3773.0752575866086,37.97757526390507,1.5003058269235203,4.529605196986133,12.238374238326372,5.003696971179967,1.3798069042460503,3.1869810715743436,1.6036586133916821,1.1855348442981515,2.693672134837021,1.355430240616596
Czechia,CZE,EUR,High,2018,7.37173605,6.24047327,50.955203888077655,5.091824166068077,13.224516709705739,5.383591325987712,18.91862514709938,3.1889147095327424,2.2761345364179877,NA,NA,NA,NA,NA,NA,NA,25.531722887569284,1.428088396580495,23.932103592055434,0.4215268603939922,0.4861689800000001,0.31223389261306644,3.7562831343684224,0.37535583765265235,0.9748764657276517,0.39686414256250924,1.3946311101330906,0.23507837524637798,0.16779063016762516,3.179845878309487,0.19900337005148894,44.41794774968782,8.021509231165519,21.746129464815866,4.199189300169913,15.714338926129948,0.5281668950284796,2.2761345364179877,10715.98472683147,5246.329536111997,3791.139043019953,38.20874482890605,1.5472012945132834,4.662001626266002,12.05175966264653,4.826371472381546,1.444190267462752,3.274373866933901,1.6030672652375033,1.1584195876367043,2.771890156401835,1.3570613965114282
Czechia,CZE,EUR,High,2019,7.4875435800000005,6.33127356,51.15298938882594,5.306714444559311,13.348004349133682,5.4067216772948585,18.314373146625922,3.1850858447352124,2.2684661684486773,NA,NA,NA,NA,NA,NA,NA,25.407914251751514,1.424440905041971,24.255056335219518,0.4708607113462497,0.5177035900000001,0.27995603025172566,3.8301023729611177,0.3973425567025334,0.9994376427016799,0.40483064183675954,1.3712966707574334,0.23848469068496017,0.16985239296015095,3.238635692324342,0.20165649795102314,44.349957733754664,8.128279856832917,21.955470866827824,4.2054911918769,15.358987626323371,0.4891454763349796,2.2684661684486773,11255.15560765939,5571.8709480866755,3897.8119606823284,38.176825820780024,1.4033490796966916,4.769782833275688,12.141997956472435,4.860762037324409,1.4313262373267772,3.320722413026461,1.6439254493479372,1.1500108919677698,2.807917147868384,1.3900609219649727
