iso3c,country,year,total_cases_per_million,total_deaths_per_million,excess_mortality,vaccination_rate,full_vaccination_rate,booster_rate,peak_icu_patients,peak_hosp_patients,avg_stringency,population
BGR,Bulgaria,2023,193906.34,5659.36,9407.14,31.79,30.64,NA,7.37,67.53,NA,6781955
BGR,Bulgaria,2024,194845.4,5669.61,NA,NA,30.64,NA,NA,NA,NA,6781955
BHR,Bahrain,2020,59680.76,228.89,NA,3.98,NA,NA,NA,NA,55.80160220994474,1472237
BHR,Bahrain,2021,182279.4,909.06,NA,81.72,80.01,57.4,NA,NA,44.102,1472237
BHR,Bahrain,2022,454276.25,1001.66,NA,84.31,83.33,68.51,NA,NA,14.037671232876702,1472237
BHR,Bahrain,2023,454276.25,1001.66,NA,NA,NA,NA,NA,NA,NA,1472237
BHR,Bahrain,2024,454276.25,1001.66,NA,NA,NA,NA,NA,NA,NA,1472237
BHS,Bahamas,2020,19590.28,425.11,668.18,NA,NA,NA,NA,NA,65.34055248618785,409989
BHS,Bahamas,2021,59439.96,1793.51,2630.42,38.3,35.94,1.7,NA,NA,62.12446575342466,409989
BHS,Bahamas,2022,94306.54,2095.37,NA,42.48,40.4,8.94,NA,NA,30.100301369863047,409989
BHS,Bahamas,2023,95956.67,2128.07,NA,42.64,40.73,9.02,NA,NA,NA,409989
BHS,Bahamas,2024,98421.81,2135.61,NA,NA,NA,NA,NA,NA,NA,409989
BIH,Bosnia and Herzegovina,2020,34114.4,1224.1,1987.64,NA,NA,NA,NA,NA,47.33925414364641,3233530
BIH,Bosnia and Herzegovina,2021,89776.44,4144.71,5846.38,27.3,22.29,0.7,NA,NA,38.78657534246576,3233530
BIH,Bosnia and Herzegovina,2022,125112.13,5061.77,7126.27,29.18,26.17,3.73,NA,NA,30.417369863013693,3233530
BIH,Bosnia and Herzegovina,2023,125907.2,5111.08,6839.98,NA,NA,NA,NA,NA,NA,3233530
BIH,Bosnia and Herzegovina,2024,125956.49,5114.82,NA,NA,NA,NA,NA,NA,NA,3233530
BLM,Saint Barthelemy,2020,17263.43,0,NA,NA,NA,NA,NA,NA,NA,10994
BLM,Saint Barthelemy,2021,157654.36,365.36,NA,NA,NA,NA,NA,NA,NA,10994
BLM,Saint Barthelemy,2022,493423.47,456.7,NA,NA,NA,NA,NA,NA,NA,10994
BLM,Saint Barthelemy,2023,503014.25,456.7,NA,NA,NA,NA,NA,NA,NA,10994
BLM,Saint Barthelemy,2024,503014.25,456.7,NA,NA,NA,NA,NA,NA,NA,10994
BLR,Belarus,2020,20158.85,150,2477.64,0,NA,NA,NA,NA,25.1937569060773,9534956
BLR,Belarus,2021,75502.32,597.83,3259.74,45.68,33.86,1.2,NA,NA,34.24901369863016,9534956
BLR,Belarus,2022,108362.68,775.95,NA,67.52,66.42,48.38,NA,NA,10.904575342465744,9534956
BLR,Belarus,2023,108362.68,775.95,NA,68.55,67.28,60,NA,NA,NA,9534956
BLR,Belarus,2024,108362.68,775.95,NA,NA,NA,NA,NA,NA,NA,9534956
BLZ,Belize,2020,26046.52,566.12,323.09,NA,NA,NA,NA,NA,58.655220994475144,405285
BLZ,Belize,2021,78221.48,1469.93,1351.38,56.78,49.13,NA,NA,NA,62.25578082191781,405285
BLZ,Belize,2022,173002,1708.29,1799.23,62.13,54.59,12.59,NA,NA,23.75156164383566,405285
BLZ,Belize,2023,177242.94,1708.29,NA,63.78,54.63,13.13,NA,NA,NA,405285
BLZ,Belize,2024,177319.92,1708.29,NA,NA,NA,NA,NA,NA,NA,405285
BMU,Bermuda,2020,8661.15,138.95,240.43,NA,NA,NA,NA,NA,46.0120994475138,64207
BMU,Bermuda,2021,93620.7,1636.51,2743.99,71.95,70.42,31.57,NA,NA,49.38994520547944,64207
BMU,Bermuda,2022,286497.25,2346.69,NA,75.62,74.22,55.81,NA,NA,23.291726027397257,64207
BMU,Bermuda,2023,291175.2,2547.4,NA,NA,NA,NA,NA,NA,NA,64207
BMU,Bermuda,2024,291175.2,2547.4,NA,NA,NA,NA,NA,NA,NA,64207
BOL,Bolivia,2020,12717.4,752.08,2184.32,NA,NA,NA,NA,NA,67.94240331491714,12224114
BOL,Bolivia,2021,47631,1617.1,4841.58,46.1,37.58,4.48,19.22,199.03,33.68230136986302,12224114
BOL,Bolivia,2022,94951.25,1844.8,5224.84,60.22,50.4,17.73,16.85,149.87,25.928356164383562,12224114
BOL,Bolivia,2023,100362.71,1853.5,NA,NA,NA,NA,NA,NA,NA,12224114
BOL,Bolivia,2024,100366.93,1853.66,NA,NA,NA,NA,NA,NA,NA,12224114
BRA,Brazil,2020,35417.66,905.76,904.04,NA,NA,NA,NA,NA,58.14104972375693,215313504
BRA,Brazil,2021,105706.41,2940.43,3109.54,77.19,66.62,12.34,NA,NA,59.724493150684914,215313504
BRA,Brazil,2022,171770.02,3293.97,3766.58,87.57,81.22,56.95,NA,NA,28.373068493150686,215313504
BRA,Brazil,2023,178367.94,3338.54,4061.99,88.08,81.82,58.7,NA,NA,NA,215313504
BRA,Brazil,2024,178367.94,3338.54,NA,NA,NA,NA,NA,NA,NA,215313504
BRB,Barbados,2020,1229.08,24.79,-390.45,NA,NA,NA,NA,NA,45.77792817679559,281646
BRB,Barbados,2021,97862.74,920.93,-345.66,55.37,51.01,NA,NA,NA,64.18619178082193,281646
BRB,Barbados,2022,373737.28,2011.87,1115.58,58.17,55.03,22.07,NA,NA,34.07293150684932,281646
BRB,Barbados,2023,381809.56,2100.42,2115.97,58.18,55.05,22.31,NA,NA,NA,281646
BRB,Barbados,2024,384600.7,2100.42,NA,NA,NA,NA,NA,NA,NA,281646
BRN,Brunei,2020,333.79,6.59,-38.03,NA,NA,NA,NA,NA,38.74292817679558,449002
BRN,Brunei,2021,33921.57,133.96,89.36,90.4,89.24,NA,NA,NA,52.79276712328768,449002
BRN,Brunei,2022,589877.75,325.01,1141.64,100.31,99.32,75.5,NA,NA,27.379013698630203,449002
BRN,Brunei,2023,726383.1,375.52,NA,100.48,99.49,75.83,NA,NA,NA,449002
BRN,Brunei,2024,763598.6,393.08,NA,NA,NA,NA,NA,NA,NA,449002
BTN,Bhutan,2020,764.48,0,-145.24,NA,NA,NA,NA,NA,64.63453038674027,782457
BTN,Bhutan,2021,3406.24,3.84,-184.95,75.37,72.22,NA,NA,NA,58.23676712328768,782457
BTN,Bhutan,2022,80073.51,26.89,302.13,89.35,86.61,81.11,NA,NA,29.849753424657525,782457
BTN,Bhutan,2023,80286.07,26.89,NA,NA,NA,NA,NA,NA,NA,782457
BTN,Bhutan,2024,80286.07,26.89,NA,NA,NA,NA,NA,NA,NA,782457
BWA,Botswana,2020,5692.87,15.98,NA,NA,NA,NA,NA,NA,51.40616022099448,2630300
BWA,Botswana,2021,87086.53,999.63,NA,44.45,39.31,NA,NA,NA,50.620164383561615,2630300
BWA,Botswana,2022,134444.72,1141.85,NA,64.14,54.22,18.99,NA,NA,7.908027397260287,2630300
BWA,Botswana,2023,135422.62,1147.59,NA,74.18,63.24,19.42,NA,NA,NA,2630300
BWA,Botswana,2024,135536.98,1148,NA,NA,NA,NA,NA,NA,NA,2630300
CAF,Central African Republic,2020,1140.44,12.36,NA,NA,NA,NA,NA,NA,40.001712707182335,5579148
CAF,Central African Republic,2021,2406.42,19.81,NA,6.72,6,NA,NA,NA,16.270712328767118,5579148
CAF,Central African Republic,2022,3012.92,22.16,NA,35.58,34.68,3.84,NA,NA,15.832273972602742,5579148
CAF,Central African Republic,2023,3028.62,22.16,NA,46.61,44.54,6.56,NA,NA,NA,5579148
CAF,Central African Republic,2024,3028.81,22.16,NA,NA,NA,NA,NA,NA,NA,5579148
CAN,Canada,2020,13890.35,379.53,330.12,0.25,0,NA,16.8,119.96,56.41143646408839,38454328
CAN,Canada,2021,50532.18,768.93,651.35,82.56,76.55,19.9,34.14,135.93,69.41293150684932,38454328
CAN,Canada,2022,115307.56,1247.28,1426.1,90.02,82.52,77.9,26,298.77,25.710794520547942,38454328
CAN,Canada,2023,122979.94,1402.35,1867.99,90.35,82.59,89.15,6.45,171.22,NA,38454328
CAN,Canada,2024,124134.43,1424.01,NA,NA,NA,90.73,4.37,139.2,NA,38454328
CHE,Switzerland,2020,49512.07,816.86,905.46,0.07,NA,NA,61.1,425.15,42.7524585635359,8740471
CHE,Switzerland,2021,142584.66,1345.29,1279.1,68.26,NA,25.2,50.68,308.56,51.87835616438355,8740471
CHE,Switzerland,2022,497610.94,1576.97,1963.8,69.74,NA,55.36,35.24,233.4,14.89435616438352,8740471
CHE,Switzerland,2023,505783.66,1611.66,2338.9,69.75,NA,55.9,4.46,113.61,NA,8740471
CHE,Switzerland,2024,507026.47,1611.66,NA,NA,NA,NA,NA,NA,NA,8740471
CHL,Chile,2020,30603.64,838.95,750.98,0.04,NA,NA,108.6,NA,65.88604972375687,19603736
CHL,Chile,2021,92012.59,1995.24,1999.89,88.29,84.41,56.28,173.74,NA,64.63060273972603,19603736
CHL,Chile,2022,256029.81,3222.62,3081.69,92.24,90.27,139.87,56.47,NA,24.32643835616438,19603736
CHL,Chile,2023,272744.25,3182.47,3362.24,92.27,90.29,140.15,6.63,NA,NA,19603736
CHL,Chile,2024,276229.6,3208.2,NA,NA,NA,NA,NA,NA,NA,19603736
CHN,China,2020,67.59,3.35,NA,NA,NA,NA,NA,NA,69.02779005524862,1425887360
CHN,China,2021,91.82,4,NA,88.36,84.68,8.46,NA,NA,74.11605479452054,1425887360
CHN,China,2022,43815.99,27.36,NA,91.68,89.35,57.21,NA,NA,77.564,1425887360
CHN,China,2023,69691.38,85.53,NA,91.89,89.54,57.99,NA,NA,NA,1425887360
