iso3c,country.name.en,continent,region,landlocked,distance_to_coast
CUB,Cuba,Americas,Latin America & Caribbean,0,0
CUW,Curaçao,Americas,Latin America & Caribbean,0,0
CYP,Cyprus,Asia,Europe & Central Asia,0,0
CZE,Czechia,Europe,Europe & Central Asia,1,1000
CIV,Côte d’Ivoire,Africa,Sub-Saharan Africa,0,0
DNK,Denmark,Europe,Europe & Central Asia,0,0
DJI,Djibouti,Africa,Middle East & North Africa,0,0
DMA,Dominica,Americas,Latin America & Caribbean,0,0
DOM,Dominican Republic,Americas,Latin America & Caribbean,0,0
ECU,Ecuador,Americas,Latin America & Caribbean,0,0
EGY,Egypt,Africa,Middle East & North Africa,0,0
SLV,El Salvador,Americas,Latin America & Caribbean,0,0
GNQ,Equatorial Guinea,Africa,Sub-Saharan Africa,0,0
ERI,Eritrea,Africa,Sub-Saharan Africa,0,0
EST,Estonia,Europe,Europe & Central Asia,0,0
SWZ,Eswatini,Africa,Sub-Saharan Africa,1,1000
ETH,Ethiopia,Africa,Sub-Saharan Africa,1,1000
FLK,Falkland Islands,Americas,Latin America & Caribbean,0,0
FRO,Faroe Islands,Europe,Europe & Central Asia,0,0
FJI,Fiji,Oceania,East Asia & Pacific,0,0
FIN,Finland,Europe,Europe & Central Asia,0,0
FRA,France,Europe,Europe & Central Asia,0,0
GUF,French Guiana,Americas,Latin America & Caribbean,0,0
PYF,French Polynesia,Oceania,East Asia & Pacific,0,0
ATF,French Southern Territories,NA,NA,0,0
GAB,Gabon,Africa,Sub-Saharan Africa,0,0
GMB,Gambia,Africa,Sub-Saharan Africa,0,0
GEO,Georgia,Asia,Europe & Central Asia,0,0
DEU,Germany,Europe,Europe & Central Asia,0,0
GHA,Ghana,Africa,Sub-Saharan Africa,0,0
GIB,Gibraltar,Europe,Europe & Central Asia,0,0
GRC,Greece,Europe,Europe & Central Asia,0,0
GRL,Greenland,Americas,Europe & Central Asia,0,0
GRD,Grenada,Americas,Latin America & Caribbean,0,0
GLP,Guadeloupe,Americas,Latin America & Caribbean,0,0
GUM,Guam,Oceania,East Asia & Pacific,0,0
GTM,Guatemala,Americas,Latin America & Caribbean,0,0
GGY,Guernsey,Europe,Europe & Central Asia,0,0
GIN,Guinea,Africa,Sub-Saharan Africa,0,0
GNB,Guinea-Bissau,Africa,Sub-Saharan Africa,0,0
GUY,Guyana,Americas,Latin America & Caribbean,0,0
HTI,Haiti,Americas,Latin America & Caribbean,0,0
