iso3c,mean_elevation,sd_elevation,min_elevation,max_elevation,range_elevation,cv_elevation,ruggedness_index,terrain_heterogeneity
CHL,1033.572975900352,1293.95672968815,0,5479,5479,1.2507157637305049,1293.95672968815,5.295904810612147
CHN,1775.4668211621072,1708.7790441740572,-137,6251,6388,0.9618975281825016,1708.7790441740572,3.5959016649808166
COL,536.1975,782.946246097568,-39,4129,4168,1.4574644262074339,782.946246097568,7.758785176773905
COM,308.8421052631579,268.8944987573905,14,1169,1155,0.8678436345151044,268.8944987573905,3.7277051129607606
COD,692.2289038407625,337.6009329164751,6,3598,3592,0.48699777381761244,337.6009329164751,5.181549672985212
COG,420.29473684210524,133.5743668283395,13,809,796,0.3170568135495153,133.5743668283395,1.8894135871873674
CRI,464.8592233009709,596.2606440936746,11,2555,2544,1.2799159365542006,596.2606440936746,5.460877176529432
CIV,261.53371868978803,125.00957849451737,5,767,762,0.4761658011717333,125.00957849451737,2.9024843125022937
HRV,281.130081300813,259.45029554610414,0,1125,1125,0.919612309151369,259.45029554610414,3.9875223330067433
CUB,72.90601503759399,115.3486592210337,0,854,854,1.5607479196701237,115.3486592210337,11.555216440307237
CYP,300.5,263.6621074340257,18,1049,1031,0.8745011855191566,263.6621074340257,3.4195688225538974
CZE,461.1449275362319,169.28118436786608,159,977,818,0.36629458484015176,169.28118436786608,1.7700075263421977
DNK,24.22096317280453,19.934749017427944,-2,95,97,0.7904039540775092,19.934749017427944,3.846006963944738
DJI,420,240.41648073816884,6,1079,1073,0.5710605243186908,240.41648073816884,2.548693586698337
DOM,338.3197969543147,409.2235857407161,4,1992,1988,1.2060115248619374,409.2235857407161,5.858779882117105
ECU,948.6534988713319,1120.7998478811203,1,4089,4088,1.1802197845984843,1120.7998478811203,4.304727992745364
EGY,291.918410041841,216.3645519720298,-97,1660,1757,0.7386512576697514,216.3645519720298,5.998257329571832
SLV,449.3614457831325,327.9313795826155,8,1694,1686,0.728151538399066,327.9313795826155,3.7436597110754413
GNQ,427.3304347826087,263.55746807457285,7,1285,1278,0.6153134278406732,263.55746807457285,2.9836777782289174
ERI,647.9102040816326,577.8884241573016,-113,2340,2453,0.890552222052288,577.8884241573016,3.7801840448349826
EST,50.642011834319526,36.009959199076405,0,198,198,0.697299696894175,36.009959199076405,3.8340876539673445
SWZ,644.2285714285714,361.253821861477,161,1481,1320,0.5598850358744053,361.253821861477,2.045786653677545
ETH,1228.1497584541062,688.1420813926633,-119,3884,4003,0.5598521064334221,688.1420813926633,3.256722765039264
FJI,108.51794871794871,118.54662589561316,0,605,605,1.082440159657453,118.54662589561316,5.5242086533058625
FIN,160.2733727810651,111.43351204026766,0,983,983,0.6909603868181203,111.43351204026766,6.095240541254513
GAB,372.3124274099884,216.1798211358085,6,809,803,0.5790855199641939,216.1798211358085,2.1510133096054407
GMB,27.56896551724138,10.757473239103044,5,51,46,0.3765440240603359,10.757473239103044,1.6101388050694025
