Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
39140,WHOSIS_000015,COUNTRY,LVA,EUR,YEAR,Europe,SEX,SEX_MLE,2000,NA,NA,NA,NA,NA,NA,15.1 [15.0-15.1],15.06372622,14.97938351,15.11870853,NA,2024-08-02T10:09:37.193+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
39393,WHOSIS_000015,COUNTRY,COG,AFR,YEAR,Africa,SEX,SEX_FMLE,2003,NA,NA,NA,NA,NA,NA,13.9 [13.6-14.3],13.9309746,13.5755831,14.31604926,NA,2024-08-02T10:09:37.193+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
40852,WHOSIS_000015,COUNTRY,ISL,EUR,YEAR,Europe,SEX,SEX_BTSX,2014,NA,NA,NA,NA,NA,NA,24.3 [24.2-24.5],24.34608146,24.24167565,24.54138514,NA,2024-08-02T10:09:37.193+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
41052,WHOSIS_000015,COUNTRY,BRA,AMR,YEAR,Americas,SEX,SEX_FMLE,2014,NA,NA,NA,NA,NA,NA,22.5 [22.5-22.6],22.52149541,22.51998307,22.56809126,NA,2024-08-02T10:09:37.193+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
41590,WHOSIS_000015,COUNTRY,TZA,AFR,YEAR,Africa,SEX,SEX_FMLE,2017,NA,NA,NA,NA,NA,NA,18.6 [18.2-19.2],18.64533003,18.17947545,19.15702531,NA,2024-08-02T10:09:37.193+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
42302,WHOSIS_000015,COUNTRY,IRN,EMR,YEAR,Eastern Mediterranean,SEX,SEX_FMLE,2000,NA,NA,NA,NA,NA,NA,21.1 [21.0-21.2],21.0922601,21.03001141,21.21207999,NA,2024-08-02T10:09:37.193+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
42921,WHOSIS_000015,COUNTRY,JOR,EMR,YEAR,Eastern Mediterranean,SEX,SEX_BTSX,2010,NA,NA,NA,NA,NA,NA,21.3 [21.0-21.6],21.30027722,20.97484252,21.62960052,NA,2024-08-02T10:09:37.193+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
42962,WHOSIS_000015,COUNTRY,VEN,AMR,YEAR,Americas,SEX,SEX_MLE,2007,NA,NA,NA,NA,NA,NA,20.0 [20.0-20.0],20.00350552,19.99063709,20.03846935,NA,2024-08-02T10:09:37.193+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
44116,WHOSIS_000015,COUNTRY,BHR,EMR,YEAR,Eastern Mediterranean,SEX,SEX_MLE,2015,NA,NA,NA,NA,NA,NA,18.6 [18.4-18.9],18.57418171,18.37306881,18.85238102,NA,2024-08-02T10:09:37.193+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
44457,WHOSIS_000015,COUNTRY,FRA,EUR,YEAR,Europe,SEX,SEX_FMLE,2015,NA,NA,NA,NA,NA,NA,27.2 [27.2-27.3],27.23991382,27.19743274,27.28239491,NA,2024-08-02T10:09:37.193+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
