iso3c,regime,n_years,avg_inst_capacity,avg_ghe
ROU,High,22,-0.15837051099250934,4.132215889545455
FSM,High,19,-0.14910866241706044,1.46269329
VNM,High,22,-0.14601996693421498,1.9080749913636363
PLW,High,15,-0.13707872728506731,4.653404347333334
COL,High,22,-0.12528126014777546,5.030011415909091
ARG,High,22,-0.10502809197218571,5.407871105454546
BGR,High,22,-0.017426267520270582,4.120531980454546
KWT,High,22,-0.009623059780675569,2.8133216495454545
SAU,High,22,-0.002904289994727416,3.2696154336363636
MDV,High,22,0.008498763496225505,4.9568424113636365
IND,High,22,0.014421570739200834,0.9220068745454546
CPV,High,21,0.018276555131056464,3.2498627619047618
PHL,High,22,0.031921545466916085,1.4293731777272727
MEX,High,22,0.04038860259408304,2.6337699254545455
MNE,High,12,0.09579411242157214,5.465715328333333
JOR,High,22,0.10833846134218299,4.070851564090909
PAN,High,22,0.10897794230417779,4.447833927727273
TUR,High,22,0.124849282564934,3.4756034063636365
TUN,High,22,0.1326320412124253,3.237837173636364
NAM,High,22,0.17884992960501794,4.282498186363636
GRD,High,22,0.19341642370405188,2.1416500531818183
CHN,High,22,0.20452634924599408,2.220422096818182
THA,High,22,0.2242323055186055,2.6134281754545454
OMN,High,22,0.23177775401960712,2.5555420577272727
GEO,High,22,0.2344315756451,2.0347623904545453
ZAF,High,22,0.2563637464561247,3.9842030886363635
CRI,High,22,0.2653073074126785,5.108644659090909
JAM,High,22,0.26783083528491924,3.31399275
TTO,High,22,0.2768497042865915,2.4995365963636362
ATG,High,22,0.27815310572358704,2.9181718177272726
WSM,High,22,0.33919067459646624,3.879927092727273
DMA,High,22,0.3879568424414505,3.208164627272727
BWA,High,22,0.4282433668320828,3.8407939236363635
BHR,High,22,0.43122803352095856,2.58247861
BTN,High,22,0.45014569840647967,2.4974522809090907
GRC,High,22,0.46143533357165073,5.08132487
ITA,High,22,0.47665722261775634,6.522755405909091
LCA,High,19,0.4900117800816106,1.9454673594736842
HRV,High,22,0.5061601590026509,5.893047895
POL,High,22,0.5109897648746317,4.37871039
URY,High,22,0.5309287214821037,5.126059770454545
VCT,High,19,0.5713460539516652,2.657812847894737
SYC,High,22,0.6020382967862214,3.3947342627272725
HUN,High,22,0.6563466367396441,4.941477796818182
SVK,High,22,0.6983368748968298,5.316392680454546
LVA,High,22,0.727410367266698,3.623496457727273
QAT,High,22,0.7376780008727857,2.059770811363636
KNA,High,19,0.7629368407161611,2.2532370905263157
LTU,High,22,0.8017120953987948,4.3574816954545454
MUS,High,22,0.823733425953171,2.076190396818182
BHS,High,22,0.8749070871960032,2.5077947913636365
CZE,High,22,0.9361851811409004,6.16312053
BRN,High,22,0.9663345502181488,1.990186815909091
CHL,High,22,0.9835126562552025,3.6326366654545454
SVN,High,22,0.9936345544728366,6.051921715
MYS,High,22,1.0014801594344052,1.782364855909091
MLT,High,22,1.0110733373598617,5.656917898181818
EST,High,22,1.040797764604742,4.608293978181818
KOR,High,22,1.0520616498860436,3.4993881795454547
PRT,High,22,1.0567937926812598,6.1845613177272725
ARE,High,22,1.0977510809898379,2.262090153181818
BRB,High,22,1.1108387668024413,3.4759084531818183
ESP,High,22,1.135496532375163,6.274376781818182
CYP,High,22,1.148814707994461,3.3113053486363637
ISR,High,22,1.2288970947265636,4.447593709545455
IRL,High,22,1.4753328778527,6.033753243181819
JPN,High,22,1.47802699695934,7.884270797727273
USA,High,22,1.5119937441565772,7.8498149781818185
BEL,High,22,1.5210472128608015,7.631149963636363
DEU,High,22,1.5326743451031763,8.481488249545455
GBR,High,22,1.575288702141155,7.709564469090909
AND,High,22,1.5873044458302585,4.597886269545454
SMR,High,8,1.6346988976001737,7.16102093375
AUT,High,22,1.6521563204852028,7.514932480909091
AUS,High,22,1.6564272100275208,6.492527701363636
ISL,High,22,1.657728336074136,7.1323974786363635
NZL,High,22,1.7022576169534172,6.954317981363636
LUX,High,22,1.7247767340053204,5.078010169545455
CAN,High,22,1.7645885890180408,7.336618141818182
NLD,High,22,1.819708780808881,6.657597737727273
SWE,High,22,1.8247776139866227,8.082356085
NOR,High,22,1.8716994036327719,7.714899020909091
MCO,High,8,1.90701338648796,3.442580075
CHE,High,22,1.9615603956309235,3.473531778181818
DNK,High,22,2.009304371747103,8.266931924090908
FIN,High,22,2.049655058167196,7.030701116818182
SGP,High,22,2.1877018267458137,1.666120294090909
SOM,Low,10,-2.208155035972596,0.134773646
YEM,Low,9,-2.059432506561279,0.4251019688888889
HTI,Low,16,-1.8983608856797238,0.509154580625
SYR,Low,8,-1.7503292858600612,1.8007439837499999
COM,Low,18,-1.6984460552533482,0.6932594794444444
LBY,Low,9,-1.6882898675070876,3.928421948888889
CAF,Low,14,-1.6847468870026714,0.9443136071428571
IRQ,Low,5,-1.659643197059632,1.934681774
COD,Low,22,-1.6525588035583492,0.3899169768181818
MHL,Low,4,-1.648010224103925,5.4320036174999995
SLE,Low,2,-1.618574857711795,0.99161148
GNB,Low,10,-1.575305485725402,0.706957146
AFG,Low,12,-1.55603708823522,0.531527305
SDN,Low,12,-1.551337103048959,1.1337032925
MMR,Low,12,-1.5473795731862392,0.36640521000000004
TKM,Low,6,-1.5153351823488865,1.1157976666666667
TCD,Low,15,-1.508160559336344,0.680991798
LBR,Low,7,-1.4947365862982613,0.7575040257142857
ERI,Low,1,-1.49212002754211,0.76524723
TGO,Low,4,-1.4890775978565252,0.5658143625000001
BDI,Low,4,-1.4817592203617076,1.7959954150000002
